Block_Size, Speed, loops, Transfer Size
8, 3.31047 Mpbs, 8192000, 250 MB
16, 5.83374 Mpbs, 4096000, 250 MB
32, 9.51911 Mpbs, 2048000, 250 MB
64, 13.9187 Mpbs, 1024000, 250 MB
128, 17.9721 Mpbs, 512000, 250 MB
256, 20.7461 Mpbs, 256000, 250 MB
512, 18.9982 Mpbs, 128000, 250 MB
1024, 21.6062 Mpbs, 64000, 250 MB
2048, 22.9548 Mpbs, 32000, 250 MB
4096, 24.3807 Mpbs, 16000, 250 MB
8192, 24.502 Mpbs, 8000, 250 MB
16384, 24.5627 Mpbs, 4000, 250 MB
32768, 24.5672 Mpbs, 2000, 250 MB
65536, 24.3842 Mpbs, 1000, 250 MB
131072, 24.3092 Mpbs, 500, 250 MB
262144, 24.1947 Mpbs, 250, 250 MB
